Product Name, Price, Price per Unit
Fresh Broccoli Each,$0.92,$0.92 / 1EA
Woolworths Australian Grown Carrots 1kg,$1.40,$1.40 / 1KG
Red Capsicum Each,$0.98,$0.98 / 1EA
Fresh Tomato Each,$0.43,$0.43 / 1EA
Fresh Pink Lady Apples Each,$1.03,$1.03 / 1EA
Fresh Tomato Each,$0.43,$0.43 / 1EA
Truss Tomatoes Each,$0.83,$0.83 / 1EA
Fresh Strawberry 250g,$2.50,$10.00 / 1KG
Green Zucchini Each,$0.90,$0.90 / 1EA
Tomato Roma Red Each,$0.80,$0.80 / 1EA
Woolworths Red Watermelon Cut Quarter Each,$6.38,$6.38 / 1EA
Woolworths Solanato Tomato Punnet 200g,$4.50,$22.50 / 1KG
Woolworths Baby Leaf Spinach 120g,$3.00,$25.00 / 1KG
Woolworths Baby Spinach Spinach 280g,$5.00,$17.86 / 1KG
Cavendish Bananas Each,$0.72,$0.72 / 1EA
Woolworths Baby Spinach 60g,$2.00,$33.33 / 1KG
The Odd Bunch Zucchini Prepacked 750g,$2.70,$3.60 / 1KG
Woolworths Tomato Truss 500g Punnet,$4.90,$9.80 / 1KG
Woolworths Gourmet Tomatoes Punnet 1kg,$3.90,$3.90 / 1KG
Spring Onion Eschallot Bunch,$2.80,$2.80 / 1EA
Woolworths Rockmelon Large Half Each,$3.45,$3.45 / 1EA
Select Gourmet Tomatoes 480g Punnet,$3.50,$7.29 / 1KG
Onion Shallot French Each,$0.65,$0.65 / 1EA
Red Seedless Watermelon Whole Each,$25.52,$25.52 / 1EA
Perfection Mix A Mato Mini Tomatoes 320g,$6.50,$20.31 / 1KG
Woolworths Truss Cocktail Tomato Punnet 250g,$4.50,$18.00 / 1KG
Hass Avocado Each,$1.80,$1.80 / 1EA
Fresh Raspberry 125g,$4.00,$32.00 / 1KG
Fresh Tomato Each,$0.43,$0.43 / 1EA
Truss Tomatoes Each,$0.83,$0.83 / 1EA
Fresh Strawberry 250g,$2.50,$10.00 / 1KG
Green Zucchini Each,$0.90,$0.90 / 1EA
Tomato Roma Red Each,$0.80,$0.80 / 1EA
Woolworths Red Watermelon Cut Quarter Each,$6.38,$6.38 / 1EA
Woolworths Solanato Tomato Punnet 200g,$4.50,$22.50 / 1KG
Woolworths Baby Leaf Spinach 120g,$3.00,$25.00 / 1KG
Woolworths Baby Spinach Spinach 280g,$5.00,$17.86 / 1KG
Cavendish Bananas Each,$0.72,$0.72 / 1EA
Woolworths Baby Spinach 60g,$2.00,$33.33 / 1KG
The Odd Bunch Zucchini Prepacked 750g,$2.70,$3.60 / 1KG
Woolworths Tomato Truss 500g Punnet,$4.90,$9.80 / 1KG
Woolworths Gourmet Tomatoes Punnet 1kg,$3.90,$3.90 / 1KG
Spring Onion Eschallot Bunch,$2.80,$2.80 / 1EA
Woolworths Rockmelon Large Half Each,$3.45,$3.45 / 1EA
Select Gourmet Tomatoes 480g Punnet,$3.50,$7.29 / 1KG
Onion Shallot French Each,$0.65,$0.65 / 1EA
Red Seedless Watermelon Whole Each,$25.52,$25.52 / 1EA
Perfection Mix A Mato Mini Tomatoes 320g,$6.50,$20.31 / 1KG
Woolworths Truss Cocktail Tomato Punnet 250g,$4.50,$18.00 / 1KG
Hass Avocado Each,$1.80,$1.80 / 1EA
Fresh Raspberry 125g,$4.00,$32.00 / 1KG
Fresh Strawberry 250g,$2.50,$10.00 / 1KG
Woolworths Australian Grown Carrots 1kg,$1.40,$1.40 / 1KG
Fresh Broccoli Each,$0.92,$0.92 / 1EA
Red Capsicum Each,$0.98,$0.98 / 1EA
Fresh Tomato Each,$0.43,$0.43 / 1EA
Woolworths Onion Brown Bag 1kg,$3.20,$3.20 / 1KG
Green Zucchini Each,$0.90,$0.90 / 1EA
Fresh Blueberries Punnet 125g,$4.00,$32.00 / 1KG
Woolworths Australian Grown Carrots 1kg,$1.40,$1.40 / 1KG
Woolworths Baby Mixed Leaf Salad 300g,$5.00,$16.67 / 1KG
Woolworths Thyme Fresh Herb 10g Punnet,$3.20,$3.20 / 10G
Woolworths Butternut Pumpkin Cut Each,$2.28,$2.28 / 1EA
Fresh Pink Lady Apples Each,$1.03,$1.03 / 1EA
Lebanese Cucumbers Each,$1.42,$1.42 / 1EA
Potato White Washed Each,$0.81,$0.81 / 1EA
Woolworths Baby Leaf Beetroot Salad With Beetroot Bag 180g,$4.00,$22.22 / 1KG
Woolworths Baby Spinach & Rocket & Rocket 120g,$3.00,$25.00 / 1KG
Fresh Rockmelon Whole Each,$6.90,$6.90 / 1EA
Fresh Broccoli Each,$0.92,$0.92 / 1EA
Cabbage Chinese Wombok Half Each,$2.45,$2.45 / 1EA
Woolworths Continental Cucumbers Each,$2.50,$2.50 / 1EA
Red Capsicum Each,$0.98,$0.98 / 1EA
Woolworths Leafy Mix Salad 120g,$2.20,$18.33 / 1KG
Sweet Potato Gold Each,$2.03,$2.03 / 1EA
Select Tomato Roma 1kg Punnet,$8.70,$8.70 / 1KG
Pumpkin Kent Cut Each,$2.03,$2.03 / 1EA
Carrot Fresh Each,$0.35,$0.35 / 1EA
Woolworths Roma Tomato 480g Punnet,$5.90,$12.29 / 1KG
Swedes Fresh Each,$1.61,$1.61 / 1EA
Onion Brown Each,$0.56,$0.56 / 1EA
Onion Red Each,$0.66,$0.66 / 1EA
Iceberg Lettuce Each,$2.90,$2.90 / 1EA
Fresh Strawberry 250g,$2.50,$10.00 / 1KG
Woolworths Australian Grown Carrots 1kg,$1.40,$1.40 / 1KG
Fresh Broccoli Each,$0.92,$0.92 / 1EA
Red Capsicum Each,$0.98,$0.98 / 1EA
Fresh Tomato Each,$0.43,$0.43 / 1EA
Woolworths Onion Brown Bag 1kg,$3.20,$3.20 / 1KG
Green Zucchini Each,$0.90,$0.90 / 1EA
Fresh Blueberries Punnet 125g,$4.00,$32.00 / 1KG
Eat Later Cavendish Bananas Each,$0.72,$0.72 / 1EA
Woolworths Rosemary Fresh Herb 10g Punnet,$3.20,$3.20 / 10G
Woolworths Qukes Baby Cucumbers Punnet 250g,$4.50,$18.00 / 1KG
Woolworths Classic Coleslaw 200g,$2.00,$10.00 / 1KG
Woolworths Asian Style Salad Kit 350g,$5.50,$15.71 / 1KG
Macro Certified Organic Baby Spinach 100g,$4.50,$45.00 / 1KG
Zucchini Green Punnet 500g,$3.50,$7.00 / 1KG
Woolworths Odd Bunch Chopped Spinach 400g,$5.80,$14.50 / 1KG
Fresh Granny Smith Apples Each,$0.96,$0.96 / 1EA
Woolworths Onion Brown Bag 1kg,$3.20,$3.20 / 1KG
Woolworths Lettuce Iceberg Blend Lettuce Blend 300g,$3.00,$10.00 / 1KG
Pumpkin Butternut Whole Each,$5.25,$5.25 / 1EA
Woolworths Caesar Salad Kit Kit 290g,$5.50,$18.97 / 1KG
Capsicum Green Each,$0.98,$0.98 / 1EA
Woolworths Leafy Mix Salad 200g,$3.00,$15.00 / 1KG
Aussie Sprouts Alfalfa Sprouts 125g Punnet,$2.60,$20.80 / 1KG
Aussie Sprouts Bean Sprouts 250g,$2.60,$10.40 / 1KG
Woolworths Lettuce Iceberg Shredded Lettuce 200g,$2.20,$11.00 / 1KG
Woolworths Crunchy Noodle Coleslaw Kit Coleslaw Kit 520g,$4.50,$8.65 / 1KG
Woolworths Cos Hearts Lettuce 2 Pack,$2.70,$1.35 / 1EA
Orange Navel Each,$0.96,$0.96 / 1EA
Mandarin Afourer Each,$0.38,$0.38 / 1EA
Fresh Strawberry 250g,$2.50,$10.00 / 1KG
Woolworths Australian Grown Carrots 1kg,$1.40,$1.40 / 1KG
Fresh Broccoli Each,$0.92,$0.92 / 1EA
Red Capsicum Each,$0.98,$0.98 / 1EA
Fresh Tomato Each,$0.43,$0.43 / 1EA
Woolworths Onion Brown Bag 1kg,$3.20,$3.20 / 1KG
Green Zucchini Each,$0.90,$0.90 / 1EA
Fresh Blueberries Punnet 125g,$4.00,$32.00 / 1KG
Woolworths Broccolini Bunch Each,$3.50,$3.50 / 1EA
Silverbeet Fresh Bunch Each,$4.90,$4.90 / 1EA
Fresh Cauliflower Half Each,$1.40,$1.40 / 1EA
Potato Red Washed Each,$0.81,$0.81 / 1EA
Apple Royal Gala Each,$1.04,$1.04 / 1EA
Woolworths Thai Salad Kit 315g,$5.50,$1.75 / 100G
Woolworths Snow Peas Fresh 250g Bag,$4.50,$18.00 / 1KG
Cabbage Chinese Wombok Whole Each,$4.90,$4.90 / 1EA
Woolworths Fresh Pink Lady Apples Punnet 1kg,$5.90,$5.90 / 1KG
Woolworths Kaleslaw Kit 350g,$5.50,$15.71 / 1KG
Turnip Fresh Each,$1.40,$1.40 / 1EA
Fresh Blueberries Punnet 125g,$4.00,$32.00 / 1KG
Ginger Fresh Per Kg,$27.00,$27.00 / 1KG
Pumpkin Kent Each,$4.64,$4.64 / 1EA
Fresh Packham Pear Each,$0.67,$0.67 / 1EA
Woolworths Simply Steam Zucchini Spaghetti 250g,$3.00,$1.20 / 100G
Mandarin Tangold Seedless Each,$0.59,$0.59 / 1EA
Woolworths Fine Cut Coleslaw Coleslaw 300g,$3.00,$10.00 / 1KG
Woolworths Sugar Snap Peas 150g Bag,$3.50,$23.33 / 1KG
Woolworths Greek Salad Kit 270g,$6.00,$22.22 / 1KG
Fresh Strawberry 250g,$2.50,$10.00 / 1KG
Woolworths Australian Grown Carrots 1kg,$1.40,$1.40 / 1KG
Fresh Broccoli Each,$0.92,$0.92 / 1EA
Red Capsicum Each,$0.98,$0.98 / 1EA
Fresh Tomato Each,$0.43,$0.43 / 1EA
